transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
109,965,672,791,67,753,141,1769,,,NA,电弧放电,1-0-2,0.952,0.6964,11.806,1
110,936.5,1032,1172,90.4,1413,0,470,,,NA,电弧放电兼过热,1-2-2,1.2056,1.102,12.9646,1
111,747,814,851,63.2,695,42.5,482,,,NA,电弧放电兼过热,1-2-2,0.8167,1.0897,13.4652,1
112,547.1,562.8,733.7,63.7,707.6,18,469.8,,,NA,电弧放电兼过热,1-2-2,0.9644,1.0287,11.5181,1
113,71.3,57.3,59.5,4.4,68.6,8.2,262.7,,,NA,电弧放电,1-0-2,1.1529,0.8036,13.5227,1
114,55,70,68,30,1,150,1500,,,NA,中温过热300~700℃,0-2-1,0.0147,1.2727,2.2667,1
115,20,70,20,10,1,280,1400,,,NA,Normal,0-2-1,0.05,3.5,2.0,0
116,160,200,380,91,21,612,1100,,,NA,高温过热>700℃,0-2-2,0.0553,1.25,4.1758,1
117,80,200,60,40,0,1650,4000,,,NA,中温过热300~700℃,0-2-1,0.0,2.5,1.5,1
118,40,40,70,15,0,1200,2700,,,NA,Normal,0-2-2,0.0,1.0,4.6667,0
119,35,100,60,20,0,140,900,,,NA,高温过热>700℃,0-2-2,0.0,2.8571,3.0,1
120,156,134,291,94,22,1400,1800,,,NA,高温过热>700℃,0-0-2,0.0756,0.859,3.0957,1
121,100,270,350,60,0,250,1500,,,NA,高温过热>700℃,0-2-2,0.0,2.7,5.8333,1
122,115,240,360,80,1,1300,5000,,,NA,高温过热>700℃,0-2-2,0.0028,2.087,4.5,1
123,100,250,270,75,0,310,1600,,,NA,高温过热>700℃,0-2-2,0.0,2.5,3.6,1
124,1300,1200,370,630,200,790,2800,,,NA,电弧放电,1-0-0,0.5405,0.9231,0.5873,1
125,80,80,140,60,0,600,3000,,,NA,中温过热300~700℃,0-2-1,0.0,1.0,2.3333,1
126,200,240,100,130,65,612,2250,,,NA,电弧放电兼过热,1-2-0,0.65,1.2,0.7692,1
127,700,95,50,38,125,500,4550,,,NA,电弧放电,1-0-1,2.5,0.1357,1.3158,1
128,45,120,20,80,1,1100,5100,,,NA,低温过热150~300℃,0-2-0,0.05,2.6667,0.25,1
129,180,300,400,70,0,500,1100,,,NA,高温过热>700℃,0-2-2,0.0,1.6667,5.7143,1
130,40,8,50,40,1,2700,3500,,,NA,Normal,0-0-1,0.02,0.2,1.25,0
131,152,140,282,95,67,610,11000,,,NA,电弧放电,1-0-1,0.2376,0.9211,2.9684,1
132,800,70,55,70,15,500,5100,,,NA,电弧放电,1-1-0,0.2727,0.0875,0.7857,1
133,20,40,90,10,0,70,900,,,NA,Normal,0-2-2,0.0,2.0,9.0,0
134,60,120,230,70,0,1080,5580,,,NA,高温过热>700℃,0-2-2,0.0,2.0,3.2857,1
135,10,15,60,80,0,700,4600,,,NA,低温过热150~300℃,0-2-0,0.0,1.5,0.75,1
136,21,124,183,45,5,,,,,NA,高温过热>700℃,0-2-2,0.0273,5.9048,4.0667,1
137,1570,1110,1780,175,1830,,,,,NA,电弧放电,1-0-2,1.0281,0.707,10.1714,1
138,3420,7870,6990,1500,33,,,,,NA,高温过热>700℃,0-2-2,0.0047,2.3012,4.66,1
139,109,42,40,5,14,,,,,NA,电弧放电,1-0-2,0.35,0.3853,8.0,1
140,63,7.4,17,1.8,6.2,,,,,NA,电弧放电,1-0-2,0.3647,0.1175,9.4444,1
141,835,76,10,29,16,,,,,NA,电弧放电,1-1-0,1.6,0.091,0.3448,1
142,217,286,458,14,884,,,,,NA,电弧放电兼过热,1-2-2,1.9301,1.318,32.7143,1
143,41,112,254,0,4536,,,,,NA,异常-未明类,,17.8583,2.7317,,1
144,105,10,11,1,43,,,,,NA,低能放电,2-1-2,3.9091,0.0952,11.0,1
145,173,334,813,172,3737,,,,,NA,低能放电兼过热,2-2-2,4.5966,1.9306,4.7267,1
146,34,39,40,9,9,,,,,NA,电弧放电兼过热,1-2-2,0.225,1.1471,4.4444,1
147,72,532,85,16,98,,,,,NA,电弧放电兼过热,1-2-2,1.1529,7.3889,5.3125,1
148,60,5,21,2,21,,,,,NA,电弧放电,1-1-2,1.0,0.0833,10.5,1
149,441,207,224,43,261,,,,,NA,电弧放电,1-0-2,1.1652,0.4694,5.2093,1
150,240,28,26,6,85,,,,,NA,低能放电,2-0-2,3.2692,0.1167,4.3333,1
151,39,1.7,0.1,0.6,0.1,,,,,NA,Normal,1-1-0,1.0,0.0436,0.1667,0
152,95,10,11,1,39,,,,,NA,低能放电,2-0-2,3.5455,0.1053,11.0,1
153,495,1775,2438,276,2,293,,,,NA,高温过热>700℃,0-2-2,0.0008,3.5859,8.8333,1
154,80,619,2480,326,1,268,,,,NA,高温过热>700℃,0-2-2,0.0004,7.7375,7.6074,1
155,21,24,98,23,1,159,,,,NA,Normal,0-2-2,0.0102,1.1429,4.2609,0
156,231,3997,5584,1726,1,0,,,,NA,高温过热>700℃,0-2-2,0.0002,17.303,3.2352,1
157,127,24,32,1,81,0,,,,NA,电弧放电,1-0-2,2.5312,0.189,32.0,1
158,2,7,1,1,1,0,,,,NA,Normal,1-2-1,1.0,3.5,1.0,0
159,217,286,458,14,884,176,,,,NA,电弧放电兼过热,1-2-2,1.9301,1.318,32.7143,1
160,54,1,4,1,1,106,,,,NA,Normal,1-1-2,0.25,0.0185,4.0,0
161,246,43,21,1,53,218,,,,NA,电弧放电,1-0-2,2.5238,0.1748,21.0,1
162,9474,4066,6552,353,12.997,553,,,,NA,高温过热>700℃,0-0-2,0.002,0.4292,18.5609,1
163,507,1053,1440,297,17,22,,,,NA,高温过热>700℃,0-2-2,0.0118,2.0769,4.8485,1
164,416,695,867,74,1,200,,,,NA,高温过热>700℃,0-2-2,0.0012,1.6707,11.7162,1
165,47,12,8,8,1,115,,,,NA,Normal,1-0-1,0.125,0.2553,1.0,0
166,441,207,224,43,261,161,,,,NA,电弧放电,1-0-2,1.1652,0.4694,5.2093,1
167,18.9,46.9,61.54,6.9,1,371,,,,NA,Normal,0-2-2,0.0162,2.4815,8.9188,0
168,116.6,623,1683.5,416,2.87,317,,,,NA,高温过热>700℃,0-2-2,0.0017,5.3431,4.0469,1
169,200,700,740,250,1,,,,,NA,中温过热300~700℃,0-2-1,0.0014,3.5,2.96,1
170,300,490,360,180,95,,,,,NA,电弧放电兼过热,1-2-1,0.2639,1.6333,2.0,1
171,56,61,32,75,31,,,,,NA,电弧放电兼过热,1-2-0,0.9688,1.0893,0.4267,1
172,33,26,5.3,6,0.2,,,,,NA,Normal,0-0-0,0.0377,0.7879,0.8833,0
173,136.74,208.69,291.91,227.03,259.52,728.46,,,,NA,电弧放电兼过热,1-2-1,0.889,1.5262,1.2858,1
174,94.01,122.1,17.11,149.31,165.42,379.23,,,,NA,低能放电兼过热,2-2-0,9.668,1.2988,0.1146,1
175,56.29,22.43,23.6,22.64,24.39,216.86,,,,NA,电弧放电,1-0-1,1.0335,0.3985,1.0424,1
176,24.64,12.12,11.9,9.46,12.15,84.38,,,,NA,电弧放电,1-0-1,1.021,0.4919,1.2579,1
177,16.99,6.17,6.08,10,5.91,50.23,,,,NA,电弧放电,1-0-0,0.972,0.3632,0.608,1
178,3.2,2.59,1.79,1.35,1.8,25.06,,,,NA,Normal,1-0-1,1.0056,0.8094,1.3259,0
179,19.3,103,19,159,0.6,,,,,NA,低温过热150~300℃,0-2-0,0.0316,5.3368,0.1195,1
180,27,30,2.4,23,0.1,,,,,NA,Normal,0-2-0,0.0417,1.1111,0.1043,0
181,23,63,10,54,0.3,,,,,NA,Normal,0-2-0,0.03,2.7391,0.1852,0
182,21,34,5,5,62,,,,,NA,低能放电兼过热,2-2-1,12.4,1.619,1.0,1
183,160,130,96,33,0.1,,,,,NA,异常-未明类,0-0-1,0.001,0.8125,2.9091,1
184,180,175,50,75,4,,,,,NA,低温过热<150℃,0-0-0,0.08,0.9722,0.6667,1
185,345,112.3,51.5,27.5,58.8,,,,,NA,电弧放电,1-0-1,1.1417,0.3255,1.8727,1
186,30.4,117,138,44.2,0.1,,,,,NA,高温过热>700℃,0-2-2,0.0007,3.8487,3.1222,1
187,130,140,120,24,0,,,,,NA,高温过热>700℃,0-2-2,0.0,1.0769,5.0,1
188,3675,6392,7691,2500,5,,,,,NA,高温过热>700℃,0-2-2,0.0007,1.7393,3.0764,1
189,119,670,934,286,19,,,,,NA,高温过热>700℃,0-2-2,0.0203,5.6303,3.2657,1
190,119,8,0,20,21,,,,,NA,异常-未明类,,,0.0672,0.0,1
191,130,98,56,7,65,,,,,NA,电弧放电,1-0-2,1.1607,0.7538,8.0,1
192,235,16,35,0,0,,,,,NA,异常-未明类,,0.0,0.0681,,1
193,85,22,10,10,0,,,,,NA,Normal,0-0-1,0.0,0.2588,1.0,0
194,36,5,9,10,7,,,,,NA,电弧放电,1-0-0,0.7778,0.1389,0.9,1
195,185,93,112,44,0,,,,,NA,异常-未明类,0-0-1,0.0,0.5027,2.5455,1
196,39,299,173,762,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,7.6667,0.227,1
197,358,14,1,5,0,,,,,NA,局部放电,0-1-0,0.0,0.0391,0.2,1
198,106,4,2,4,2,,,,,NA,Normal,1-1-0,1.0,0.0377,0.5,0
199,3282,154,231,7,0,,,,,NA,高温过热>700℃,0-1-2,0.0,0.0469,33.0,1
200,9,9,42,8,142,,,,,NA,低能放电兼过热,2-2-2,3.381,1.0,5.25,1
201,58,568,1440,471,0,,,,,NA,高温过热>700℃,0-2-2,0.0,9.7931,3.0573,1
202,274,141,240,72,0,,,,,NA,高温过热>700℃,0-0-2,0.0,0.5146,3.3333,1
203,27,0,57,25,95,,,,,NA,电弧放电,1-1-1,1.6667,0.0,2.28,1
204,14,10,37,16,74,,,,,NA,电弧放电,1-0-1,2.0,0.7143,2.3125,1
205,47,8,0,11,0,,,,,NA,Normal,,,0.1702,0.0,0
206,0,32,0,105,2,,,,,NA,Normal,,,,0.0,0
207,68,0,1,3,0,,,,,NA,Normal,0-1-0,0.0,0.0,0.3333,0
208,68,0,6,2,0,,,,,NA,Normal,0-1-2,0.0,0.0,3.0,0
209,0,71,2,145,0,,,,,NA,异常-未明类,,0.0,,0.0138,1
210,26,26,0,56,0,,,,,NA,Normal,,,1.0,0.0,0
211,40,73,21,83,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,1.825,0.253,1
212,23,9,0,0,0,,,,,NA,Normal,,,0.3913,,0
213,0,2,0,0,5,,,,,NA,Normal,,,,,0
214,16,46,0,98,0,,,,,NA,Normal,,,2.875,0.0,0
215,25,8,0,13,0,,,,,NA,Normal,,,0.32,0.0,0
216,0,0,35,0,0,,,,,NA,Normal,,0.0,,,0
217,9,28,0,34,0,,,,,NA,Normal,,,3.1111,0.0,0
218,0,273,338,193,0,,,,,NA,异常-未明类,,0.0,,1.7513,1
219,34,151,6,323,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,4.4412,0.0186,1
220,36,168,7,354,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,4.6667,0.0198,1
221,50,180,6,368,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,3.6,0.0163,1
222,100,121,7,170,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,1.21,0.0412,1
223,46,257,10,378,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,5.587,0.0265,1
224,46,229,37,690,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,4.9783,0.0536,1
225,109,108,29,166,10,,,,,NA,电弧放电,1-0-0,0.3448,0.9908,0.1747,1
226,22,247,4,881,2,,,,,NA,电弧放电兼过热,1-2-0,0.5,11.2273,0.0045,1
227,24,302,0,917,3,,,,,NA,异常-未明类,,,12.5833,0.0,1
228,21,237,4,926,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,11.2857,0.0043,1
229,7,551,1083,128,0,,,,,NA,高温过热>700℃,0-2-2,0.0,78.7143,8.4609,1
230,36,8,51,3,60,,,,,NA,电弧放电,1-0-2,1.1765,0.2222,17.0,1
231,22.4,22.4,13.44,2.69,1.57,112,,,,NA,Normal,1-2-2,0.1168,1.0,4.9963,0
232,0.67,0.224,0.067,0.045,0.002,11.2,,,,NA,Normal,,,,,0
233,1,27,4,49,1,254,,,,NA,Normal,1-2-0,0.25,27.0,0.0816,0
234,595,80,89,9,244,2100,,,,NA,电弧放电,1-0-2,2.7416,0.1345,9.8889,1
235,260,215,334,35,277,416,,,,NA,电弧放电,1-0-2,0.8293,0.8269,9.5429,1
236,2240,157,157,90,45,67,,,,NA,电弧放电,1-1-1,0.2866,0.0701,1.7444,1
237,21,14,90,191,0,,,,,NA,低温过热<150℃,0-0-0,0.0,0.6667,0.4712,1
238,18,35,110,2,0,,,,,NA,Normal,0-2-2,0.0,1.9444,55.0,0
239,407,28,21,15,0,,,,,NA,异常-未明类,0-1-1,0.0,0.0688,1.4,1
240,119,8,0,20,21,,,,,NA,异常-未明类,,,0.0672,0.0,1
241,48,20,41,69,31,,,,,NA,电弧放电,1-0-0,0.7561,0.4167,0.5942,1
242,1667,146,1,55,0,688,,,,NA,局部放电,0-1-0,0.0,0.0876,0.0182,1
243,432,184,259,20,421,291,,,,NA,电弧放电,1-0-2,1.6255,0.4259,12.95,1
244,200,54,41,21,130,550,,,,NA,低能放电,2-0-1,3.1707,0.27,1.9524,1
245,130,65,110,40,40,210,145,,,NA,电弧放电,1-0-1,0.3636,0.5,2.75,1
246,750,250,300,950,190,210,2163,,,NA,电弧放电,1-0-0,0.6333,0.3333,0.3158,1
247,348,11646,46976,9901,407,,1322,,,NA,高温过热>700℃,0-2-2,0.0087,33.4655,4.7446,1
248,110,69,39,44,26,23,119,,,NA,电弧放电,1-0-0,0.6667,0.6273,0.8864,1
249,750,43,50,40,145,148,,,,NA,电弧放电,1-1-1,2.9,0.0573,1.25,1
250,39,10,6,3,0.5,,,,,NA,Normal,0-0-1,0.0833,0.2564,2.0,0
251,5,1,5,1,0.5,,,,,NA,Normal,,,,,0
252,6,1,4,1,0.5,,,,,NA,Normal,,,,,0
253,6,17,17,10,0.5,,,,,NA,Normal,0-2-1,0.0294,2.8333,1.7,0
254,7,138,50,32,2.5,,,,,NA,中温过热300~700℃,0-2-1,0.05,19.7143,1.5625,1
255,11,4,9,7,0.5,,,,,NA,Normal,0-0-1,0.0556,0.3636,1.2857,0
256,5,3,17,6,0.5,,,,,NA,Normal,0-0-1,0.0294,0.6,2.8333,0
257,29,1,18,25,0.5,,,,,NA,Normal,0-1-0,0.0278,0.0345,0.72,0
258,5,30,21,12,0.5,,,,,NA,Normal,0-2-1,0.0238,6.0,1.75,0
259,7,171,327,106,0.5,,,,,NA,高温过热>700℃,0-2-2,0.0015,24.4286,3.0849,1
260,5,13,10,9,0.5,,,,,NA,Normal,0-2-1,0.05,2.6,1.1111,0
261,6,79,27,137,0.5,,,,,NA,低温过热150~300℃,0-2-0,0.0185,13.1667,0.1971,1
262,16,12,28,6,29,,,,,NA,电弧放电,1-0-2,1.0357,0.75,4.6667,1
263,5,2,6,12,0.5,,,,,NA,Normal,0-0-0,0.0833,0.4,0.5,0
264,688,35,18,14,0.5,,,,,NA,异常-未明类,0-1-1,0.0278,0.0509,1.2857,1
265,524,91,96,46,0.5,,,,,NA,异常-未明类,0-0-1,0.0052,0.1737,2.087,1
266,1120,111,117,27,4.5,,,,,NA,高温过热>700℃,0-1-2,0.0385,0.0991,4.3333,1
267,5,10,7,8,0.5,,,,,NA,Normal,0-2-0,0.0714,2.0,0.875,0
268,7,61,18,63,0.5,,,,,NA,Normal,0-2-0,0.0278,8.7143,0.2857,0
269,5,2,2,2,0.5,,,,,NA,Normal,,,,,0
270,5,4,63,160,2,,,,,NA,低温过热<150℃,0-0-0,0.0317,0.8,0.3937,1
271,7225,121,160,8,1797,,,,,NA,低能放电,2-1-2,11.2312,0.0167,20.0,1
272,10,18,21,84,16,,,,,NA,电弧放电兼过热,1-2-0,0.7619,1.8,0.25,1
273,1866,64,111,112,1265,,,,,NA,低能放电,2-1-0,11.3964,0.0343,0.9911,1
274,2845,7406,16684,5467,7,32,1344,5860,27842,NA,高温过热>700℃,0-2-2,0.0004,2.6032,3.0518,1
275,12886,877,4,305,0,83,864,61,25041,NA,局部放电,0-1-0,0.0,0.0681,0.0131,1
276,2820,144,206,11,2190,257,1080,16400,56300,NA,低能放电,2-1-2,10.6311,0.0511,18.7273,1
277,1099,545,6,230,0,184,1402,70,37520,NA,低温过热<150℃,0-0-0,0.0,0.4959,0.0261,1
278,3210,160,4,43,4,360,2130,3570,47900,NA,电弧放电,1-1-0,1.0,0.0498,0.093,1
279,13500,3150,5,1230,1,113,984,343,36500,NA,电弧放电,1-0-0,0.2,0.2333,0.0041,1
280,10200,573,0,162,0,87,611,11900,33700,NA,异常-未明类,,,0.0562,0.0,1
281,3,5,12,2,13,68,902,15459,41347,NA,电弧放电兼过热,1-2-2,1.0833,1.6667,6.0,1
282,16,8,5,8,2,520,2660,2470,59600,NA,Normal,1-0-0,0.4,0.5,0.625,0
283,488,13,29,23,0,85,1957,11861,48353,NA,异常-未明类,0-1-1,0.0,0.0266,1.2609,1
284,4,1,13,0,13,206,1440,26100,60600,NA,异常-未明类,,1.0,0.25,,1
285,4,0,3,0,11,75,655,21800,46200,NA,异常-未明类,,3.6667,0.0,,1
286,254,14,5,9,0,376,2500,592,60300,NA,局部放电,0-1-0,0.0,0.0551,0.5556,1
287,23349,5045,5588,3532,2951,156,48,2475,28011,NA,电弧放电,1-0-1,0.5281,0.2161,1.5821,1
288,9040,1790,7820,638,1450,183,2060,1870,47500,NA,电弧放电,1-0-2,0.1854,0.198,12.2571,1
289,13200,2650,16400,1610,1510,156,2240,1120,32800,NA,高温过热>700℃,0-0-2,0.0921,0.2008,10.1863,1
290,6620,2240,13100,1400,1660,190,1870,5250,51900,NA,电弧放电,1-0-2,0.1267,0.3384,9.3571,1
291,8710,658,1260,97,9740,437,1780,4530,42800,NA,低能放电,2-1-2,7.7302,0.0755,12.9897,1
292,5810,471,798,44,3990,354,1470,11900,51400,NA,低能放电,2-1-2,5.0,0.0811,18.1364,1
293,757,1700,2280,755,12,1730,24900,289,57400,NA,高温过热>700℃,0-2-2,0.0053,2.2457,3.0199,1
294,590,949,828,168,582,209,51,23200,63900,NA,电弧放电兼过热,1-2-2,0.7029,1.6085,4.9286,1
295,1310,1010,2520,376,17,119,2220,2690,51900,NA,高温过热>700℃,0-0-2,0.0067,0.771,6.7021,1
296,122,50,69,31,0,372,2180,294,73100,NA,Normal,0-0-1,0.0,0.4098,2.2258,0
297,106,47,11,30,0,760,4070,581,75200,NA,Normal,0-0-0,0.0,0.4434,0.3667,0
298,95,72,10,36,0,488,3050,1760,80800,NA,Normal,0-0-0,0.0,0.7579,0.2778,0
299,87,47,5,31,0,560,3920,362,76100,NA,Normal,0-0-0,0.0,0.5402,0.1613,0
300,79,72,83,42,0,508,3810,699,75700,NA,异常-未明类,0-0-1,0.0,0.9114,1.9762,1
301,2183,1061,1308,646,2,183,5730,192,43380,NA,异常-未明类,0-0-1,0.0015,0.486,2.0248,1
302,76,45,10,27,0,904,5220,324,71700,NA,Normal,0-0-0,0.0,0.5921,0.3704,0
303,14,0,22,0,0,161,2010,17600,44300,NA,Normal,,0.0,0.0,,0
304,14,12,0,0,0,54,5190,2750,29500,NA,Normal,,,0.8571,,0
305,40,8,9,0,1,538,2480,2350,65000,NA,Normal,,0.1111,0.2,,0
306,5,4,3,0,1,496,2720,9400,37100,NA,Normal,,0.3333,0.8,,0
307,7,0,3,0,1,302,3640,12300,32200,NA,Normal,,0.3333,0.0,,0
308,2390,163,3,53,0,546,2660,9050,44300,NA,局部放电,0-1-0,0.0,0.0682,0.0566,1
309,12880,827,4,320,0,184,2267,1571,36351,NA,局部放电,0-1-0,0.0,0.0642,0.0125,1
310,10700,625,0,190,1,79,660,13100,32700,NA,异常-未明类,,,0.0584,0.0,1
311,921,42,75,3,713,132,542,22000,43400,NA,低能放电,2-1-2,9.5067,0.0456,25.0,1
312,9350,188,228,28,0,451,2720,229,53000,NA,高温过热>700℃,0-1-2,0.0,0.0201,8.1429,1
313,6200,218,103,39,0,492,10600,291,59400,NA,异常-未明类,0-1-1,0.0,0.0352,2.641,1
314,3060,190,68,47,0,403,8930,257,69500,NA,异常-未明类,0-1-1,0.0,0.0621,1.4468,1
315,7907,467,2,249,0,96,1765,3564,24991,NA,局部放电,0-1-0,0.0,0.0591,0.008,1
316,5030,179,0,21,0,38,260,7140,54300,NA,异常-未明类,,,0.0356,0.0,1
317,322,181,170,15,173,614,466,669,56400,NA,电弧放电,1-0-2,1.0176,0.5621,11.3333,1
318,152,254,2250,908,4830,64,1510,21400,49300,NA,电弧放电兼过热,1-2-1,2.1467,1.6711,2.478,1
319,211,148,751,103,3030,118,2300,249900,62600,NA,低能放电,2-0-2,4.0346,0.7014,7.2913,1
320,277,142,802,59,3840,93,2090,21500,46100,NA,低能放电,2-0-2,4.788,0.5126,13.5932,1
321,253,135,57,734,3330,82,1870,17300,43700,NA,低能放电,2-0-0,58.4211,0.5336,0.0777,1
322,216,93,578,36,2830,94,1890,24300,48500,NA,低能放电,2-0-2,4.8962,0.4306,16.0556,1
323,135,33,3,5,0,568,1301,5091,48792,NA,Normal,0-0-0,0.0,0.2444,0.6,0
324,0,4,30,49,67,20,507,219,56900,NA,异常-未明类,,2.2333,,0.6122,1
325,38,11,28,3,19,177,727,3127,16464,NA,电弧放电,1-0-2,0.6786,0.2895,9.3333,1
326,36,101,193,35,0,525,4080,2950,63300,NA,高温过热>700℃,0-2-2,0.0,2.8056,5.5143,1
327,30,161,248,28,0,309,2710,316,54100,NA,高温过热>700℃,0-2-2,0.0,5.3667,8.8571,1
328,52,37,8,21,0,936,6130,387,68400,NA,Normal,0-0-0,0.0,0.7115,0.381,0
329,30,39,17,48,0,140,2690,413,19600,NA,Normal,0-2-0,0.0,1.3,0.3542,0
330,24,41,10,65,0,186,2790,455,21700,NA,Normal,0-2-0,0.0,1.7083,0.1538,0
331,21,32,9,47,0,217,3030,425,33000,NA,Normal,0-2-0,0.0,1.5238,0.1915,0
332,59,20,9,15,0,267,2300,645,56000,NA,Normal,0-0-0,0.0,0.339,0.6,0
333,104,37,11,11,0,357,3220,1450,76500,NA,Normal,0-0-1,0.0,0.3558,1.0,0
334,3,0,10,0,0,108,1480,19700,67600,NA,Normal,,0.0,0.0,,0
335,40,9,17,12,0,84,919,24800,53300,NA,Normal,0-0-1,0.0,0.225,1.4167,0
336,35,6,20,0,0,202,1310,1920,73500,NA,Normal,,0.0,0.1714,,0
337,3,37,10,102,0,234,2800,1900,81300,NA,Normal,0-2-0,0.0,12.3333,0.098,0
338,0,43,4,91,0,68,2770,693,50600,NA,Normal,,0.0,,0.044,0
339,28,16,0,3,0,245,1290,9950,47300,NA,Normal,,,0.5714,0.0,0
340,25,3,0,0,0,267,1180,15500,50700,NA,Normal,,,0.12,,0
341,25,12,4,14,0,317,2750,508,54500,NA,Normal,0-0-0,0.0,0.48,0.2857,0
342,23,16,5,6,0,914,3420,888,74700,NA,Normal,0-0-0,0.0,0.6957,0.8333,0
343,9,2,0,4,0,308,1970,10700,42300,NA,Normal,,,,,0
344,9,10,4,17,0,294,1960,738,56000,NA,Normal,0-2-0,0.0,1.1111,0.2353,0
345,4,22,7,47,0,105,1100,408,38700,NA,Normal,0-2-0,0.0,5.5,0.1489,0
346,8,14,6,22,0,235,1850,1060,55300,NA,Normal,0-2-0,0.0,1.75,0.2727,0
347,7,13,4,15,0,205,1780,376,54700,NA,Normal,0-2-0,0.0,1.8571,0.2667,0
348,7,9,4,15,0,317,2690,425,50500,NA,Normal,0-2-0,0.0,1.2857,0.2667,0
349,7,2,28,0,0,373,3470,15700,46800,NA,Normal,,0.0,0.2857,,0
350,7,10,4,18,0,154,2210,1990,58800,NA,Normal,0-2-0,0.0,1.4286,0.2222,0
351,6,17,7,31,0,277,2200,3760,70200,NA,Normal,0-2-0,0.0,2.8333,0.2258,0
352,5,16,5,22,0,231,2170,378,53100,NA,Normal,0-2-0,0.0,3.2,0.2273,0
353,5,4,7,0,0,296,2750,17400,53400,NA,Normal,,,,,0
354,5,0,10,0,0,149,826,22900,51800,NA,Normal,,0.0,0.0,,0
355,5,0,17,0,0,148,820,20400,42200,NA,Normal,,0.0,0.0,,0
356,4,5,2,6,0,89,876,57,31384,NA,Normal,,,,,0
357,4,2,8,0,0,154,1910,4740,73200,NA,Normal,,,,,0
358,4,0,66,0,0,194,2050,20200,44700,NA,Normal,,0.0,0.0,,0
359,3,0,18,0,0,333,1240,15400,46100,NA,Normal,,0.0,0.0,,0
360,3,0,18,0,0,118,906,20600,42000,NA,Normal,,0.0,0.0,,0
361,3,5,9,11,0,47,623,395,47000,NA,Normal,0-2-0,0.0,1.6667,0.8182,0
362,2,2,3,0,0,106,1040,21500,47500,NA,Normal,,,,,0
363,2,2,55,0,0,297,1780,14700,44200,NA,Normal,,0.0,1.0,,0
364,0,17,6,41,0,305,2200,5640,71800,NA,Normal,,0.0,,0.1463,0
365,0,2,3,7,0,39,1420,21900,48300,NA,Normal,,,,,0
366,0,0,0,0,0,91,1520,21200,44200,NA,Normal,,,,,0
367,0,0,0,0,0,22,399,25900,49700,NA,Normal,,,,,0
368,0,0,0,0,0,66,553,22900,45300,NA,Normal,,,,,0
369,0,3,9,8,0,78,2180,21800,52500,NA,Normal,,,,,0
370,0,13,4,22,0,131,1520,2220,58800,NA,Normal,,0.0,,0.1818,0
371,0,6,8,11,0,266,3530,944,58700,NA,Normal,,0.0,,0.7273,0
372,0,0,0,0,0,47,480,27000,56600,NA,Normal,,,,,0
373,0,0,5,0,0,204,2750,21600,45800,NA,Normal,,,,,0
374,0,0,4,0,0,98,1740,30800,58700,NA,Normal,,,,,0
375,0,0,6,0,0,198,2250,21700,45600,NA,Normal,,,,,0
376,0,0,0,0,0,23,180,8380,30800,NA,Normal,,,,,0
377,0,0,0,0,0,32,525,27300,55500,NA,Normal,,,,,0
378,0,0,0,0,0,53,481,19300,45700,NA,Normal,,,,,0
379,0,0,0,0,0,81,514,24800,45700,NA,Normal,,,,,0
380,0,0,8,0,0,122,856,22000,44900,NA,Normal,,,,,0
381,0,7,3,13,0,148,1960,14300,65700,NA,Normal,,0.0,,0.2308,0
382,18,4,0,7,0,231,1610,17600,51700,NA,Normal,,,0.2222,0.0,0
383,11,7,47,0,0,540,2980,1140,63900,NA,Normal,,0.0,0.6364,,0
384,16,5,5,0,0,548,3170,7340,71000,NA,Normal,,0.0,0.3125,,0
385,12,3,3,8,0,69,2150,461,54500,NA,Normal,0-0-0,0.0,0.25,0.375,0
386,4,36,3,54,0,232,2580,624,44500,NA,Normal,0-2-0,0.0,9.0,0.0556,0
387,114,2,0,0,0,144,707,2359,31861,NA,Normal,,,0.0175,,0
388,1450,157,82,75,0,278,3360,13000,55800,NA,异常-未明类,0-0-1,0.0,0.1083,1.0933,1
389,81,10,0,0,0,852,1371,23790,64479,NA,Normal,,,0.1235,,0
390,67,14,0,5,0,930,4030,5940,41600,NA,Normal,,,0.209,0.0,0
391,1230,61,28,24,0,576,11300,239,71300,NA,异常-未明类,0-1-1,0.0,0.0496,1.1667,1
392,54,8,0,3,0,554,3990,1690,27100,NA,Normal,,,0.1481,0.0,0
393,44,1,0,0,0,133,520,1735,41280,NA,Normal,,,0.0227,,0
394,37,21,10,10,0,888,3690,623,20300,NA,Normal,0-0-1,0.0,0.5676,1.0,0
395,24,5,0,0,0,361,1570,35700,85300,NA,Normal,,,0.2083,,0
396,24,12,3,4,0,771,2960,1330,70800,NA,Normal,0-0-0,0.0,0.5,0.75,0
