transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
619,6,6,0,0,0,678,2220,9960,53700,NA,Normal,,,,,0
620,6,4,0,0,0,529,1540,6510,37400,NA,Normal,,,,,0
621,6,4,0,0,0,562,1670,11800,44900,NA,Normal,,,,,0
622,6,5,0,0,0,705,2250,5790,30900,NA,Normal,,,,,0
623,6,5,0,0,0,581,1870,11600,44500,NA,Normal,,,,,0
624,6,0,0,35,0,17,413,177,55400,NA,Normal,,,0.0,0.0,0
625,6,2,0,175,0,36,311,222,42000,NA,异常-未明类,,,0.3333,0.0,1
626,5,3,0,0,0,465,2850,6410,45800,NA,Normal,,,,,0
627,5,0,3,0,0,491,1140,10800,43300,NA,Normal,,,,,0
628,5,0,0,0,0,258,1130,17400,43000,NA,Normal,,,,,0
629,5,5,11,0,0,475,846,18200,66100,NA,Normal,,0.0,1.0,,0
630,5,7,0,0,0,689,2410,4460,33100,NA,Normal,,,,,0
631,5,7,0,0,0,696,2820,10500,47300,NA,Normal,,,,,0
632,5,4,0,0,0,739,2030,3860,29300,NA,Normal,,,,,0
633,5,5,0,0,0,466,1930,8930,34900,NA,Normal,,,,,0
634,5,5,0,0,0,582,1720,9880,41700,NA,Normal,,,,,0
635,5,5,0,0,0,746,24200,7550,47400,NA,Normal,,,,,0
636,5,5,0,0,0,685,2090,5300,39600,NA,Normal,,,,,0
637,5,10,19,14,0,507,5330,15700,60200,NA,Normal,0-2-1,0.0,2.0,1.3571,0
638,5,0,0,68,0,22,226,1210,54600,NA,Normal,,,0.0,0.0,0
639,5,2,0,0,0,90,93,16100,53200,NA,Normal,,,,,0
640,4,5,3,0,0,344,2380,17000,72100,NA,Normal,,,,,0
641,4,0,0,0,0,82,499,22200,48400,NA,Normal,,,,,0
642,4,4,0,0,0,152,825,18900,53900,NA,Normal,,,,,0
643,4,0,0,0,0,322,825,6890,24800,NA,Normal,,,,,0
644,4,7,0,0,0,760,2600,4990,35200,NA,Normal,,,,,0
645,4,6,0,0,0,599,2310,3910,24600,NA,Normal,,,,,0
646,4,6,0,0,0,656,2090,4300,26200,NA,Normal,,,,,0
647,4,6,0,0,0,595,2130,4690,27400,NA,Normal,,,,,0
648,4,7,0,0,0,785,2690,9600,55200,NA,Normal,,,,,0
649,4,6,0,0,0,664,2440,4070,30900,NA,Normal,,,,,0
650,4,4,0,0,0,735,2010,4860,34500,NA,Normal,,,,,0
651,4,0,0,0,0,51,275,9660,22200,NA,Normal,,,,,0
652,4,4,9,1,0,171,2499,7917,72870,NA,Normal,,,,,0
653,4,2,0,0,0,92,736,19100,49000,NA,Normal,,,,,0
654,4,1,4,0,0,364,2020,10600,49300,NA,Normal,,,,,0
655,4,3,0,99,0,68,508,425,54300,NA,Normal,,,0.75,0.0,0
656,4,0,0,0,0,69,188,19700,50400,NA,Normal,,,,,0
657,3,6,16,0,0,569,3710,8020,50100,NA,Normal,,0.0,2.0,,0
658,3,2,0,49,0,29,650,1940,53800,NA,Normal,,,0.6667,0.0,0
